,Date,Volume,Open,High,Low,Close,Median,ac,jaw,teeth,lips,bjaw,bteeth,blips,ao,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,jaws_tmp,teeth_tmp,lips_tmp,fdbb,fdbs,fdb,aof,aoaz,aobz,zlc,zlcb,zlcs,zcol,sz,bz,acs,acb,ss,sb
10,2023-01-16 14:00:00,6981,3997.43,4002.81,3990.79,3992.04,3996.8,0.6501764706,3938.5048652978,3962.9770933142,3983.7593351947,3889.7211468309,3866.8569684455,3868.3449239268,49.7286470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3979.2593402811,3988.2431796197,3992.9017870042,0.0,1.0,-1.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
11,2023-01-16 22:00:00,7415,3992.04,4000.3,3990.03,3993.54,3995.165,-2.9037823529,3940.5302602749,3967.8618316499,3985.2424681557,3889.1368081025,3867.5758417464,3869.981837929,45.7397647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3981.247547746,3989.6275436957,3993.6561913361,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
12,2023-01-17 02:00:00,5994,3993.54,3994.8,3985.53,3987.54,3990.165,-6.9927882353,3942.2371633307,3972.6041026937,3986.1039745246,3888.281225989,3868.2633718965,3871.7836956369,40.1193823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3982.3622292777,3989.7350349566,3992.4924608907,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
13,2023-01-17 06:00:00,12017,3987.54,3993.55,3983.53,3988.91,3988.54,-7.4680294118,3945.9131507668,3974.925464857,3988.2431796197,3887.5872796296,3869.0688560438,3873.8232928241,37.3578235294,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3983.134450618,3989.4960279653,3991.1749739272,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
14,2023-01-17 10:00:00,15706,3988.91,3996.8,3985.28,3990.54,3991.04,-5.8679941176,3950.2317545539,3976.7535317498,3989.6275436957,3886.9361866,3870.2019677521,3876.3440783293,35.9014117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3984.1226442908,3989.8048223722,3991.1299826181,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
15,2023-01-17 14:00:00,68416,3990.54,4018.05,3985.79,3996.53,4001.92,-4.3135823529,3954.5062349729,3979.2593402811,3989.7350349566,3886.3724654023,3871.0280228839,3879.0902819078,34.3876176471,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3986.3473137544,3992.2278578978,3994.7266550787,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,1.0,0.0,0.0
16,2023-01-17 18:00:00,24443,3996.53,4003.985,3987.03,3992.04,3995.5075,-4.4741764706,3957.3269092057,3981.247547746,3989.4960279653,3885.854460173,3871.3704224678,3881.8390971458,31.3488382353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3987.4923370351,3992.8837863182,3994.9869367192,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
17,2023-01-17 22:00:00,4969,3992.04,3992.045,3979.83,3985.35,3985.9375,-5.7514676471,3959.8056084976,3982.3622292777,3989.8048223722,3885.4123875868,3871.6336875139,3884.4445648768,27.5595882353,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3987.2979824057,3991.4945290546,3991.9704578128,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,red,1.0,0.0,0.0,0.0,0.0,0.0
18,2023-01-18 02:00:00,18879,3985.35,4012.7,3983.34,3997.09,3998.02,-4.8174323529,3962.6513309209,3983.134450618,3992.2278578978,3885.02236076,3871.9670295591,3886.8642100275,26.2775735294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3988.638234605,3992.7996232437,3993.9869718752,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.0,0.0,0.0
19,2023-01-18 06:00:00,14318,3997.09,4003.85,3991.34,3995.85,3997.595,-4.5158647059,3965.1523823885,3984.1226442908,3992.8837863182,3884.6486263694,3872.1864472035,3889.3108509091,24.2485735294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3989.7578302794,3993.7586985949,3995.1896479168,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,1.0,0.0,0.0
